"source","search","url"
"github","tensorflow","https://api.github.com/repositories/80643958/contents/vignettes/why_use_keras.Rmd?ref=289167c1346a5dc739da1fbc5f46e5efed25ee48"
"github","tensorflow","https://api.github.com/repositories/149159419/contents/neural_network.Rmd?ref=4bf73d063f1bbaf5ca7444b43f9b44267a9b5ab7"
"github","tensorflow","https://api.github.com/repositories/69019496/contents/inst/dockerfiles/cloudDataLabR/googleDatalabR.Rmd?ref=df059e8b9433a7368a708285abb060de0c891700"
"github","tensorflow","https://api.github.com/repositories/118644244/contents/index.Rmd?ref=1c82de2d05635fff74894aab72cf6411c0837f03"
"github","tensorflow","https://api.github.com/repositories/118644244/contents/previous.Rmd?ref=1c82de2d05635fff74894aab72cf6411c0837f03"
"github","tensorflow","https://api.github.com/repositories/120011852/contents/RStudioConf/RstudioConfNotes.Rmd?ref=c2594cdafc4326daa563b4753e06ffb9c8d85e72"
"github","tensorflow","https://api.github.com/repositories/90789946/contents/content/post/2017-08-01-getting-started-with-tensorflow-on-windows.Rmd?ref=26e795439a74cc35458253171fef0ea656bb43b7"
"github","tensorflow","https://api.github.com/repositories/142182284/contents/vignettes/hub-with-keras.Rmd?ref=e2675e73deb8501f9d98c6c5fa3a76c852dd03ac"
"github","tensorflow","https://api.github.com/repositories/86976183/contents/README.Rmd?ref=c01c969e7029a3851b36b2661217d183e9085f0f"
"github","tensorflow","https://api.github.com/repositories/88405194/contents/TensorFlow_Probability.Rmd?ref=063721d674c9da799b8277371acbb9ef211fe54b"
"github","tensorflow","https://api.github.com/repositories/111455172/contents/vignettes/introduction_to_clonealign.Rmd?ref=41f25be0a3f18a4b78129bc1da0d47c0ada500cb"
"github","tensorflow","https://api.github.com/repositories/135414746/contents/packrat/lib/x86_64-pc-linux-gnu/3.4.4/keras/doc/why_use_keras.Rmd?ref=a4122df7b767e2b8d7e1a793c371fdb420c83676"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/content/post/2019-01-07_end2end_ws_berlin_feb19.Rmd?ref=eaf989d2e2d061e81925fa7f1afa7abf8d430cbb"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/public/post/2019-01-07_end2end_ws_berlin_feb19.Rmd?ref=c457ef012a79825df12545973772a63e2b66bb45"
"github","tensorflow","https://api.github.com/repositories/149159419/contents/Laboratorio3.Rmd?ref=43c3ec0cb8667cd82a6daa1a60b983a5cdc3d5c3"
"github","tensorflow","https://api.github.com/repositories/186728083/contents/0_Installation.Rmd?ref=d9ec421f90325975a25446ef420e9fb60ba2c510"
"github","tensorflow","https://api.github.com/repositories/104084739/contents/HKUST-tensorflow.Rmd?ref=922721ee3e77f09b7037338d2ae9f1c089463049"
"github","tensorflow","https://api.github.com/repositories/111617034/contents/TF_Core_Regression.Rmd?ref=6444414f6925fe52bb0211bcf5152ca45010a540"
"github","tensorflow","https://api.github.com/repositories/111617034/contents/TF_Linear_Classifier.Rmd?ref=6444414f6925fe52bb0211bcf5152ca45010a540"
"github","tensorflow","https://api.github.com/repositories/119031639/contents/tensorflow-gpu.Rmd?ref=786b6ade3bb2301ff4ebef888ab363c540c31ed9"
"github","tensorflow","https://api.github.com/repositories/150598562/contents/sandbox.Rmd?ref=23af4248635e201ee35e33723c96e0e914d793e5"
"github","tensorflow","https://api.github.com/repositories/73758247/contents/vignettes/webpages/software.Rmd?ref=91db596d2e71162dfe3311b6688d9e23bb9a3826"
"github","tensorflow","https://api.github.com/repositories/132591514/contents/inst/doc/troubleshooting.Rmd?ref=e197bdb7705d501c9e03621a6f7dc8f6b061bdce"
"github","tensorflow","https://api.github.com/repositories/132591514/contents/vignettes/troubleshooting.Rmd?ref=e197bdb7705d501c9e03621a6f7dc8f6b061bdce"
"github","tensorflow","https://api.github.com/repositories/179107495/contents/README.Rmd?ref=0cc54bb859abf3a7c41170c662618330385fa6e7"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/content/post/2018-02-05_deep_learning_keras_tensorflow_18_04.Rmd?ref=5b227353a9590c0ddee30c351b65e152dccaa10a"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/public/post/2018-02-05_deep_learning_keras_tensorflow_18_04.Rmd?ref=5b227353a9590c0ddee30c351b65e152dccaa10a"
"github","tensorflow","https://api.github.com/repositories/170775725/contents/datasets.Rmd?ref=c08ff0602c9e307ebdb4ba4c38b682bd14fab827"
"github","tensorflow","https://api.github.com/repositories/120678589/contents/methods-consultants/methods-consultants.Rmd?ref=b8ea74b148ab9721f6b1c9b06aedbffe8747cce6"
"github","tensorflow","https://api.github.com/repositories/190350980/contents/tensorflow-production-2019-06.Rmd?ref=4ce2d8b367ea55adbfe3e0c70b8c9a57f986da3e"
"github","tensorflow","https://api.github.com/repositories/84468631/contents/tensorflow_tutorial.Rmd?ref=8271863dd3f622f04d9c854d016249c568dcd14f"
"github","tensorflow","https://api.github.com/repositories/95151342/contents/content/tools/index.Rmd?ref=d3de74e0607bca99a34a53ee66e33f3767e0a307"
"github","tensorflow","https://api.github.com/repositories/95151342/contents/content/tools/cloud_desktop_gpu.Rmd?ref=9bb5b457e8055f82bdb33718769714c285179557"
"github","tensorflow","https://api.github.com/repositories/121526789/contents/MBTI.Rmd?ref=e7cf42a6963373641c390a89956e02b20eaeef11"
"github","tensorflow","https://api.github.com/repositories/90932803/contents/docs/howto_summaries_and_tensorboard.Rmd?ref=2dc2834c7d21603be8bb5cf0c30119aa651ef0e7"
"github","tensorflow","https://api.github.com/repositories/164260978/contents/content/post/2018-07-03.Rmd?ref=1312d693d16aa33c7865f631620095ba83375ad8"
"github","tensorflow","https://api.github.com/repositories/84675436/contents/2017-11_keras_intro/keras_intro.Rmd?ref=5a897e79a0194d0e08f165f1c301afcd0b8c69e2"
"github","tensorflow","https://api.github.com/repositories/151667463/contents/keras/vignettes/tools.Rmd?ref=78d509aaf41a4c4dff408f7c95260fdf300d728c"
"github","tensorflow","https://api.github.com/repositories/140599161/contents/_posts/2018-08-26-eager-dcgan/eager-dcgan.Rmd?ref=3437f12f7869999a520f06fc402e8d877c021a71"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/content/post/2017-12-03_keras_sketchnotes.Rmd?ref=5b227353a9590c0ddee30c351b65e152dccaa10a"
"github","tensorflow","https://api.github.com/repositories/103399876/contents/public/post/2017-12-03_keras_sketchnotes.Rmd?ref=5b227353a9590c0ddee30c351b65e152dccaa10a"
"github","tensorflow","https://api.github.com/repositories/150853289/contents/report.Rmd?ref=51f214ad9bde67fdb33bda30b6c670458367aee0"
"github","tensorflow","https://api.github.com/repositories/137502147/contents/tf-2-considerations/tf-2-discuss.Rmd?ref=deadb8dccc2fe77a1eaa6efeb42fdae80c9c669a"
"github","tensorflow","https://api.github.com/repositories/49824541/contents/6-Fall2018/Tutorials/wk8-Tensorflow/image_interpolation_tutorial/Image_Interpolation_tutorial.Rmd?ref=8404b1b84d549e13b511de3f9732d638a17cebb2"
"github","tensorflow","https://api.github.com/repositories/49824541/contents/Tutorials/wk8-Tensorflow/image_interpolation_tutorial/Image_Interpolation_tutorial.Rmd?ref=40f9cf6ce5ebbf9183a1777f729f896e5945566e"
"github","tensorflow","https://api.github.com/repositories/119031639/contents/petastorm.Rmd?ref=7b771b06268283653419ce234d21b031b9b13178"
"github","tensorflow","https://api.github.com/repositories/49824541/contents/6-Fall2018/Tutorials/wk8-Tensorflow/Tensorflow_tutorial/Tensorflow_tutorial.Rmd?ref=8404b1b84d549e13b511de3f9732d638a17cebb2"
"github","tensorflow","https://api.github.com/repositories/49824541/contents/Tutorials/wk8-Tensorflow/Tensorflow_tutorial/Tensorflow_tutorial.Rmd?ref=40f9cf6ce5ebbf9183a1777f729f896e5945566e"
"github","tensorflow","https://api.github.com/repositories/170685999/contents/content/post/geostatisticsWithTensorFlow/geostatistics_mle_tf.Rmd?ref=cd04dd322f56aa015b3ae3ac1bf3ce0355517e98"
"github","tensorflow","https://api.github.com/repositories/140599161/contents/_posts/2019-01-08-getting-started-with-tf-probability/tensorflow_probability_getting_started.Rmd?ref=3437f12f7869999a520f06fc402e8d877c021a71"
